ID,Name,Type,Has Leggacy,Offering (Estimated),Expiry,Egg,Egg Value,Duration,Size,Token,Std#1,Std#2,Std#3,Std Rate/hr,Elt#1,Elt#2,Elt#3,Elt Rate/hr,#PE,Std PE Goal,Std PE Rate/hr,Elt PE Goal,Elt PE Rate/hr,JSON,Protobuf (base64)
snack-attack,Snack Attack,Original,false,2020-04-20Z,2020-05-11T15:17:28Z,Edible,0.1,7d,7,420m,10T,30T,400T,2.381T,25q,250q,1Q,5.952q,0,,,,,"{""id"":""snack-attack"",""egg_type"":1,""rewards"":[{""_1"":1,""goal"":25000000000000000,""type"":6,""count"":250000,""_6"":5000000000},{""_1"":1,""goal"":250000000000000000,""type"":2,""count"":50000,""_6"":1000000000000},{""_1"":1,""goal"":1000000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":5,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":7,""expiry_timestamp"":1589210248.9364815,""duration_seconds"":604800,""name"":""Snack Attack"",""description"":""For an unknown reason baked goods are flying off the shelves and more eggs are needed to restock!"",""min_client_version"":25,""token_interval_minutes"":420,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":25000000000000000,""type"":6,""count"":250000,""_6"":5000000000},{""_1"":1,""goal"":250000000000000000,""type"":2,""count"":50000,""_6"":1000000000000},{""_1"":1,""goal"":1000000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":5,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":10000000000000,""type"":6,""count"":50000,""_6"":10},{""_1"":1,""goal"":30000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":1,""_6"":1000},{""_1"":1,""goal"":400000000000000,""type"":2,""count"":10000,""_6"":1000000}]}]}",CgxzbmFjay1hdHRhY2sQARofCAERAKDYhVc0VkMYBikAAAAAgIQOQTEAAAAgX6DyQRofCAERAMhOZ23Bi0MYAikAAAAAAGroQDEAAACilBptQho1CAERAMhOZ23Bq0MYCSIUdGFjaHlvbl9wcmlzbV9vcmFuZ2UpAAAAAAAAFEAxAAA0JvVrDEMgASgHMVDvOyJbrtdBOQAAAAAAdSJBSgxTbmFjayBBdHRhY2tSYUZvciBhbiB1bmtub3duIHJlYXNvbiBiYWtlZCBnb29kcyBhcmUgZmx5aW5nIG9mZiB0aGUgc2hlbHZlcyBhbmQgbW9yZSBlZ2dzIGFyZSBuZWVkZWQgdG8gcmVzdG9jayFwGXkAAAAAAEB6QIIBeQofCAERAKDYhVc0VkMYBikAAAAAgIQOQTEAAAAgX6DyQQofCAERAMhOZ23Bi0MYAikAAAAAAGroQDEAAACilBptQgo1CAERAMhOZ23Bq0MYCSIUdGFjaHlvbl9wcmlzbV9vcmFuZ2UpAAAAAAAAFEAxAAA0JvVrDEOCAXkKHwgBEQAAQOWcMKJCGAYpAAAAAABq6EAxAAAAAAAAJEAKNQgBEQAA4FfrSLtCGAkiFHRhY2h5b25fcHJpc21fb3JhbmdlKQAAAAAAAPA/MQAAAAAAQI9ACh8IAREAAJAexLz2QhgCKQAAAAAAiMNAMQAAAACAhC5B
arts-and-crafts-2020,Arts and Crafts,Original,false,2020-04-27Z,2020-05-18T16:22:43Z,Super Material,150,4d,10,120m,5T,25T,750T,7.812T,50q,500q,1Q,10.417q,1,750T,7.812T,500q,5.208q,"{""id"":""arts-and-crafts-2020"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":50000000000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":200000000000},{""_1"":1,""goal"":500000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":1000000000000000000,""type"":2,""count"":75000,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1589818963.4706168,""duration_seconds"":345600,""name"":""Arts and Crafts"",""description"":""Kids are completing more arts and crafts projects than ever, we need more supplies!"",""min_client_version"":25,""token_interval_minutes"":120,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":50000000000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":200000000000},{""_1"":1,""goal"":500000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":1000000000000000000,""type"":2,""count"":75000,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":5000000000000,""type"":9,""name"":""jimbos_orange"",""count"":2,""_6"":1},{""_1"":1,""goal"":25000000000000,""type"":3,""count"":5000,""_6"":250},{""_1"":1,""goal"":750000000000000,""type"":4,""count"":1,""_6"":1000000000}]}]}",ChRhcnRzLWFuZC1jcmFmdHMtMjAyMBAFGjAIAREAoNiFVzRmQxgFIg9lcGljX2VnZ19sYXlpbmcpAAAAAAAA8D8xAAAA6HZIR0IaHwgBEQDITmdtwZtDGAQpAAAAAAAA8D8xAABA5ZwwokIaHwgBEQDITmdtwatDGAIpAAAAAIBP8kAxAAA0JvVrDEMgASgKMZYe3pStsNdBOQAAAAAAGBVBSg9BcnRzIGFuZCBDcmFmdHNSU0tpZHMgYXJlIGNvbXBsZXRpbmcgbW9yZSBhcnRzIGFuZCBjcmFmdHMgcHJvamVjdHMgdGhhbiBldmVyLCB3ZSBuZWVkIG1vcmUgc3VwcGxpZXMhcBl5AAAAAAAAXkCCAXQKMAgBEQCg2IVXNGZDGAUiD2VwaWNfZWdnX2xheWluZykAAAAAAADwPzEAAADodkhHQgofCAERAMhOZ23Bm0MYBCkAAAAAAADwPzEAAEDlnDCiQgofCAERAMhOZ23Bq0MYAikAAAAAgE/yQDEAADQm9WsMQ4IBcgouCAERAABA5ZwwkkIYCSINamltYm9zX29yYW5nZSkAAAAAAAAAQDEAAAAAAADwPwofCAERAACQHsS8tkIYAykAAAAAAIizQDEAAAAAAEBvQAofCAERAACn3PdQBUMYBCkAAAAAAADwPzEAAAAAZc3NQQ==
may-the-force-2020,Megg The 4th Be With You ,Original,false,2020-05-04Z,2020-05-25T15:36:35Z,Graviton,175000,7d,9,54m,250T,1q,10q,59.524T,500q,1Q,1.5Q,8.929q,0,,,,,"{""id"":""may-the-force-2020"",""egg_type"":10,""rewards"":[{""_1"":1,""goal"":500000000000000000,""type"":6,""count"":150000,""_6"":10000000000},{""_1"":1,""goal"":1000000000000000000,""type"":3,""count"":25000000000,""_6"":100000000000},{""_1"":1,""goal"":1500000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":5,""_6"":30000000000000}],""coop_allowed"":true,""max_coop_size"":9,""expiry_timestamp"":1590420995.7672215,""duration_seconds"":604800,""name"":""Megg The 4th Be With You "",""description"":""Levitation products and tricks are being cleared out of stores, suppliers need to refill orders!"",""min_client_version"":25,""token_interval_minutes"":54,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":500000000000000000,""type"":6,""count"":150000,""_6"":10000000000},{""_1"":1,""goal"":1000000000000000000,""type"":3,""count"":25000000000,""_6"":100000000000},{""_1"":1,""goal"":1500000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":5,""_6"":30000000000000}]},{""rewards"":[{""_1"":1,""goal"":250000000000000,""type"":6,""count"":35000,""_6"":25},{""_1"":1,""goal"":1000000000000000,""type"":5,""name"":""epic_internal_incubators"",""count"":2,""_6"":1000},{""_1"":1,""goal"":10000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":1,""_6"":10000000}]}]}",ChJtYXktdGhlLWZvcmNlLTIwMjAQChofCAERAMhOZ23Bm0MYBikAAAAAgE8CQTEAAAAgX6ACQhofCAERAMhOZ23Bq0MYAykAAADodkgXQjEAAADodkg3Qho1CAERABZ7DRLRtEMYCSIUdGFjaHlvbl9wcmlzbV9vcmFuZ2UpAAAAAAAAFEAxAADgV+tIu0IgASgJMSga8YD5stdBOQAAAAAAdSJBShlNZWdnIFRoZSA0dGggQmUgV2l0aCBZb3UgUmBMZXZpdGF0aW9uIHByb2R1Y3RzIGFuZCB0cmlja3MgYXJlIGJlaW5nIGNsZWFyZWQgb3V0IG9mIHN0b3Jlcywgc3VwcGxpZXJzIG5lZWQgdG8gcmVmaWxsIG9yZGVycyFwGXkAAAAAAABLQIIBeQofCAERAMhOZ23Bm0MYBikAAAAAgE8CQTEAAAAgX6ACQgofCAERAMhOZ23Bq0MYAykAAADodkgXQjEAAADodkg3Qgo1CAERABZ7DRLRtEMYCSIUdGFjaHlvbl9wcmlzbV9vcmFuZ2UpAAAAAAAAFEAxAADgV+tIu0KCAZMBCh8IAREAADQm9WvsQhgGKQAAAAAAF+FAMQAAAAAAADlACjkIAREAADQm9WsMQxgFIhhlcGljX2ludGVybmFsX2luY3ViYXRvcnMpAAAAAAAAAEAxAAAAAABAj0AKNQgBEQCA4Dd5w0FDGAkiFHRhY2h5b25fcHJpc21fb3JhbmdlKQAAAAAAAPA/MQAAAADQEmNB
laurel-v-yanny,LEGACY: Laurel vs Yanny,Leggacy,true,2020-05-08Z,2020-05-15T14:47:32Z,Quantum,3000,4d,7,60m,50T,1q,,10.417T,250q,500q,,5.208q,1,1q,10.417T,500q,5.208q,"{""id"":""laurel-v-yanny"",""egg_type"":7,""rewards"":[{""_1"":1,""goal"":250000000000000000,""type"":6,""name"":""subtype"",""count"":250000,""_6"":1000000000000},{""_1"":1,""goal"":500000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":7,""expiry_timestamp"":1589554052.3050473,""duration_seconds"":345600,""name"":""LEGACY: Laurel vs Yanny"",""description"":""A Quantum rift is causing people to hear different words in a viral video. Scientists have a fix but they need your help."",""min_client_version"":25,""token_interval_minutes"":60,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":250000000000000000,""type"":6,""name"":""subtype"",""count"":250000,""_6"":1000000000000},{""_1"":1,""goal"":500000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":50000000000000,""type"":3,""name"":""subtype"",""count"":10000,""_6"":100},{""_1"":1,""goal"":1000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000}]}]}",Cg5sYXVyZWwtdi15YW5ueRAHGigIAREAyE5nbcGLQxgGIgdzdWJ0eXBlKQAAAACAhA5BMQAAAKKUGm1CGigIAREAyE5nbcGbQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAANCb1awxDIAEoBzHlhRPhqq/XQTkAAAAAABgVQUoXTEVHQUNZOiBMYXVyZWwgdnMgWWFubnlSeUEgUXVhbnR1bSByaWZ0IGlzIGNhdXNpbmcgcGVvcGxlIHRvIGhlYXIgZGlmZmVyZW50IHdvcmRzIGluIGEgdmlyYWwgdmlkZW8uIFNjaWVudGlzdHMgaGF2ZSBhIGZpeCBidXQgdGhleSBuZWVkIHlvdXIgaGVscC5wGXkAAAAAAABOQIIBVAooCAERAMhOZ23Bi0MYBiIHc3VidHlwZSkAAAAAgIQOQTEAAACilBptQgooCAERAMhOZ23Bm0MYBCIHc3VidHlwZSkAAAAAAADwPzEAADQm9WsMQ4IBVAooCAERAACQHsS8xkIYAyIHc3VidHlwZSkAAAAAAIjDQDEAAAAAAABZQAooCAERAAA0JvVrDEMYBCIHc3VidHlwZSkAAAAAAADwPzEAAAAAgIQuQQ==
mothers-day-2020,Supermarket Refill,Original,false,2020-05-11Z,2020-06-01T15:39:49Z,Edible,0.1,6d,4,120m,10T,50T,1q,6.944T,50q,200q,500q,3.472q,1,1q,6.944T,200q,1.389q,"{""id"":""mothers-day-2020"",""egg_type"":1,""rewards"":[{""_1"":1,""goal"":50000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":2,""_6"":100000000000},{""_1"":1,""goal"":200000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":500000000000000000,""type"":2,""count"":100000,""_6"":10000000000000000}],""coop_allowed"":true,""max_coop_size"":4,""expiry_timestamp"":1591025989.6693194,""duration_seconds"":518400,""name"":""Supermarket Refill"",""description"":""With so many restaurants closed, supermarkets weren't ready for Edible Egg demand for Mother's day omelettes!"",""min_client_version"":25,""token_interval_minutes"":120,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":50000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":2,""_6"":100000000000},{""_1"":1,""goal"":200000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":500000000000000000,""type"":2,""count"":100000,""_6"":10000000000000000}]},{""rewards"":[{""_1"":1,""goal"":10000000000000,""type"":2,""count"":1500,""_6"":10},{""_1"":1,""goal"":50000000000000,""type"":3,""count"":25000,""_6"":1000},{""_1"":1,""goal"":1000000000000000,""type"":4,""count"":1,""_6"":10000000000}]}]}",ChBtb3RoZXJzLWRheS0yMDIwEAEaMwgBEQCg2IVXNGZDGAkiEnNvdWxfYmVhY29uX29yYW5nZSkAAAAAAAAAQDEAAADodkg3QhofCAERAKDYhVc0hkMYBCkAAAAAAADwPzEAAEDlnDCiQhofCAERAMhOZ23Bm0MYAikAAAAAAGr4QDEAgOA3ecNBQyABKAQxIdZqUUi110E5AAAAAACkH0FKElN1cGVybWFya2V0IFJlZmlsbFJtV2l0aCBzbyBtYW55IHJlc3RhdXJhbnRzIGNsb3NlZCwgc3VwZXJtYXJrZXRzIHdlcmVuJ3QgcmVhZHkgZm9yIEVkaWJsZSBFZ2cgZGVtYW5kIGZvciBNb3RoZXIncyBkYXkgb21lbGV0dGVzIXAZeQAAAAAAAF5AggF3CjMIAREAoNiFVzRmQxgJIhJzb3VsX2JlYWNvbl9vcmFuZ2UpAAAAAAAAAEAxAAAA6HZIN0IKHwgBEQCg2IVXNIZDGAQpAAAAAAAA8D8xAABA5ZwwokIKHwgBEQDITmdtwZtDGAIpAAAAAABq+EAxAIDgN3nDQUOCAWMKHwgBEQAAQOWcMKJCGAIpAAAAAABwl0AxAAAAAAAAJEAKHwgBEQAAkB7EvMZCGAMpAAAAAABq2EAxAAAAAABAj0AKHwgBEQAANCb1awxDGAQpAAAAAAAA8D8xAAAAIF+gAkI=
build-a-house,LEGACY: Home Renovations,Leggacy,true,2020-05-15Z,2020-05-22T14:10:20Z,Super Material,150,10d,2,240m,50T,250T,3q,12.500T,5q,25q,100q,416.667T,1,3q,12.500T,100q,416.667T,"{""id"":""build-a-house"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":5000000000000000,""type"":2,""name"":""subtype"",""count"":10000,""_6"":100000000000},{""_1"":1,""goal"":25000000000000000,""type"":9,""name"":""tachyon_prism_orange_big"",""count"":2,""_6"":1000000000000},{""_1"":1,""goal"":100000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000000}],""coop_allowed"":true,""max_coop_size"":2,""expiry_timestamp"":1590156620.463827,""duration_seconds"":864000,""name"":""LEGACY: Home Renovations"",""description"":""You've decided to build a new house! Why not make it yourself? You'll need a lot of eggs so get started!"",""token_interval_minutes"":240,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":5000000000000000,""type"":2,""name"":""subtype"",""count"":10000,""_6"":100000000000},{""_1"":1,""goal"":25000000000000000,""type"":9,""name"":""tachyon_prism_orange_big"",""count"":2,""_6"":1000000000000},{""_1"":1,""goal"":100000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000000}]},{""rewards"":[{""_1"":1,""goal"":50000000000000,""type"":2,""name"":""subtype"",""count"":2500,""_6"":10},{""_1"":1,""goal"":250000000000000,""type"":7,""name"":""subtype"",""count"":2,""_6"":1000},{""_1"":1,""goal"":3000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000}]}]}",Cg1idWlsZC1hLWhvdXNlEAUaKAgBEQCA4Dd5wzFDGAIiB3N1YnR5cGUpAAAAAACIw0AxAAAA6HZIN0IaOQgBEQCg2IVXNFZDGAkiGHRhY2h5b25fcHJpc21fb3JhbmdlX2JpZykAAAAAAAAAQDEAAACilBptQhooCAERAKDYhVc0dkMYBCIHc3VidHlwZSkAAAAAAADwPzEAAJAexLzWQiABKAIxV68dU/ex10E5AAAAAABeKkFKGExFR0FDWTogSG9tZSBSZW5vdmF0aW9uc1JoWW91J3ZlIGRlY2lkZWQgdG8gYnVpbGQgYSBuZXcgaG91c2UhIFdoeSBub3QgbWFrZSBpdCB5b3Vyc2VsZj8gWW91J2xsIG5lZWQgYSBsb3Qgb2YgZWdncyBzbyBnZXQgc3RhcnRlZCF5AAAAAAAAbkCCAY8BCigIAREAgOA3ecMxQxgCIgdzdWJ0eXBlKQAAAAAAiMNAMQAAAOh2SDdCCjkIAREAoNiFVzRWQxgJIhh0YWNoeW9uX3ByaXNtX29yYW5nZV9iaWcpAAAAAAAAAEAxAAAAopQabUIKKAgBEQCg2IVXNHZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAACQHsS81kKCAX4KKAgBEQAAkB7EvMZCGAIiB3N1YnR5cGUpAAAAAACIo0AxAAAAAAAAJEAKKAgBEQAANCb1a+xCGAciB3N1YnR5cGUpAAAAAAAAAEAxAAAAAABAj0AKKAgBEQAAp9z3UCVDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAAIF+gAkI=
one-wheel-eggR,Personal Mobility,Original,false,2020-05-18Z,2020-06-08T14:10:49Z,Fusion,700,7d,5,120m,25T,250T,2q,11.905T,100q,400q,800q,4.762q,0,,,,,"{""id"":""one-wheel-eggR"",""egg_type"":6,""rewards"":[{""_1"":1,""goal"":100000000000000000,""type"":7,""count"":2,""_6"":100000000000},{""_1"":1,""goal"":400000000000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":5000000000000},{""_1"":1,""goal"":800000000000000000,""type"":9,""name"":""boost_beacon_orange"",""count"":2,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":5,""expiry_timestamp"":1591625449.7998662,""duration_seconds"":604800,""name"":""Personal Mobility"",""description"":""The UnoWheel EggR personal mobility device was just released. Powered by Fusion Eggs, it has over 100 miles of range! Eggs are needed!"",""min_client_version"":25,""token_interval_minutes"":120,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":100000000000000000,""type"":7,""count"":2,""_6"":100000000000},{""_1"":1,""goal"":400000000000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":5000000000000},{""_1"":1,""goal"":800000000000000000,""type"":9,""name"":""boost_beacon_orange"",""count"":2,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":25000000000000,""type"":6,""count"":50000,""_6"":10},{""_1"":1,""goal"":250000000000000,""type"":2,""count"":5000,""_6"":1000},{""_1"":1,""goal"":2000000000000000,""type"":5,""name"":""epic_egg_laying"",""count"":1,""_6"":100000000}]}]}",Cg5vbmUtd2hlZWwtZWdnUhAGGh8IAREAoNiFVzR2QxgHKQAAAAAAAABAMQAAAOh2SDdCGjAIAREAoNiFVzSWQxgFIg9lcGljX2VnZ19sYXlpbmcpAAAAAAAA8D8xAABA5ZwwkkIaNAgBEQCg2IVXNKZDGAkiE2Jvb3N0X2JlYWNvbl9vcmFuZ2UpAAAAAAAAAEAxAAA0JvVrDEMgASgFMQIxc7qRt9dBOQAAAAAAdSJBShFQZXJzb25hbCBNb2JpbGl0eVKGAVRoZSBVbm9XaGVlbCBFZ2dSIHBlcnNvbmFsIG1vYmlsaXR5IGRldmljZSB3YXMganVzdCByZWxlYXNlZC4gUG93ZXJlZCBieSBGdXNpb24gRWdncywgaXQgaGFzIG92ZXIgMTAwIG1pbGVzIG9mIHJhbmdlISBFZ2dzIGFyZSBuZWVkZWQhcBl5AAAAAAAAXkCCAYkBCh8IAREAoNiFVzR2QxgHKQAAAAAAAABAMQAAAOh2SDdCCjAIAREAoNiFVzSWQxgFIg9lcGljX2VnZ19sYXlpbmcpAAAAAAAA8D8xAABA5ZwwkkIKNAgBEQCg2IVXNKZDGAkiE2Jvb3N0X2JlYWNvbl9vcmFuZ2UpAAAAAAAAAEAxAAA0JvVrDEOCAXQKHwgBEQAAkB7EvLZCGAYpAAAAAABq6EAxAAAAAAAAJEAKHwgBEQAANCb1a+xCGAIpAAAAAACIs0AxAAAAAABAj0AKMAgBEQAANCb1axxDGAUiD2VwaWNfZWdnX2xheWluZykAAAAAAADwPzEAAAAAhNeXQQ==
all-or-nothing,LEGACY: All or Nothing,Leggacy,true,2020-05-22Z,2020-05-29T14:51:54Z,Edible,0.1,9d6h13m,3,60m,10q,,,45.000T,250q,,,1.125q,1,10q,45.000T,250q,1.125q,"{""id"":""all-or-nothing"",""egg_type"":1,""rewards"":[{""_1"":1,""goal"":250000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000000}],""coop_allowed"":true,""max_coop_size"":3,""expiry_timestamp"":1590763914.9491296,""duration_seconds"":800000,""name"":""LEGACY: All or Nothing"",""description"":""A mysterious investor is looking for a lot of edible eggs. But he wants the full amount or nothing."",""token_interval_minutes"":60,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":250000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000000}]},{""rewards"":[{""_1"":1,""goal"":10000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000}]}]}",Cg5hbGwtb3Itbm90aGluZxABGigIAREAyE5nbcGLQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAQOWcMKJCIAEoAzGKvrxiSLTXQTkAAAAAAGooQUoWTEVHQUNZOiBBbGwgb3IgTm90aGluZ1JjQSBteXN0ZXJpb3VzIGludmVzdG9yIGlzIGxvb2tpbmcgZm9yIGEgbG90IG9mIGVkaWJsZSBlZ2dzLiBCdXQgaGUgd2FudHMgdGhlIGZ1bGwgYW1vdW50IG9yIG5vdGhpbmcueQAAAAAAAE5AggEqCigIAREAyE5nbcGLQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAQOWcMKJCggEqCigIAREAgOA3ecNBQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAACBfoAJC
memorial-2020,Tachy-gone,Original,false,2020-05-25Z,2020-06-15T14:33:53Z,Tachyon,50000,5d,50,240m,100T,1q,10q,83.333T,500q,3Q,6Q,50.000q,1,10q,83.333T,3Q,25.000q,"{""id"":""memorial-2020"",""egg_type"":9,""rewards"":[{""_1"":1,""goal"":500000000000000000,""type"":9,""name"":""tachyon_prism_orange_big"",""count"":2,""_6"":500000000000},{""_1"":1,""goal"":3000000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":6000000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":4,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":50,""expiry_timestamp"":1592231633.8007236,""duration_seconds"":432000,""name"":""Tachy-gone"",""description"":""\""Time tourism\"" broke all records this memorial day depleting tachyon egg inventories, time to help stock back up!"",""min_client_version"":25,""token_interval_minutes"":240,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":500000000000000000,""type"":9,""name"":""tachyon_prism_orange_big"",""count"":2,""_6"":500000000000},{""_1"":1,""goal"":3000000000000000000,""type"":4,""count"":1,""_6"":10000000000000},{""_1"":1,""goal"":6000000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":4,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":100000000000000,""type"":3,""count"":5000,""_6"":50},{""_1"":1,""goal"":1000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":1,""_6"":25000},{""_1"":1,""goal"":10000000000000000,""type"":4,""count"":1,""_6"":2000000000}]}]}",Cg1tZW1vcmlhbC0yMDIwEAkaOQgBEQDITmdtwZtDGAkiGHRhY2h5b25fcHJpc21fb3JhbmdlX2JpZykAAAAAAAAAQDEAAACilBpdQhofCAERABZ7DRLRxEMYBCkAAAAAAADwPzEAAEDlnDCiQhozCAERABZ7DRLR1EMYCSISc291bF9iZWFjb25fb3JhbmdlKQAAAAAAABBAMQAANCb1awxDIAEoMjEOP3O04bnXQTkAAAAAAF4aQUoKVGFjaHktZ29uZVJxIlRpbWUgdG91cmlzbSIgYnJva2UgYWxsIHJlY29yZHMgdGhpcyBtZW1vcmlhbCBkYXkgZGVwbGV0aW5nIHRhY2h5b24gZWdnIGludmVudG9yaWVzLCB0aW1lIHRvIGhlbHAgc3RvY2sgYmFjayB1cCFwGXkAAAAAAABuQIIBkQEKOQgBEQDITmdtwZtDGAkiGHRhY2h5b25fcHJpc21fb3JhbmdlX2JpZykAAAAAAAAAQDEAAACilBpdQgofCAERABZ7DRLRxEMYBCkAAAAAAADwPzEAAEDlnDCiQgozCAERABZ7DRLR1EMYCSISc291bF9iZWFjb25fb3JhbmdlKQAAAAAAABBAMQAANCb1awxDggF3Ch8IAREAAJAexLzWQhgDKQAAAAAAiLNAMQAAAAAAAElACjMIAREAADQm9WsMQxgJIhJzb3VsX2JlYWNvbl9vcmFuZ2UpAAAAAAAA8D8xAAAAAABq2EAKHwgBEQCA4Dd5w0FDGAQpAAAAAAAA8D8xAAAAAGXN3UE=
space-eggs,LEGACY: SpaceEggs,Leggacy,true,2020-05-29Z,2020-06-05T14:51:22Z,Rocket Fuel,30,7d,6,120m,250T,1q,,5.952T,30q,500q,,2.976q,0,,,,,"{""id"":""space-eggs"",""egg_type"":4,""rewards"":[{""_1"":1,""goal"":30000000000000000,""type"":8,""count"":1,""_6"":100000000000},{""_1"":1,""goal"":500000000000000000,""type"":2,""name"":""subtype"",""count"":50000,""_6"":1000000000000000}],""coop_allowed"":true,""max_coop_size"":6,""expiry_timestamp"":1591368682.459916,""duration_seconds"":604800,""name"":""LEGACY: SpaceEggs"",""description"":""Spaceflight is booming due to re-usable rockets. Help fill the demand with this contract."",""token_interval_minutes"":120,""reward_tiers"":[{""rewards"":[{""_1"":1,""goal"":30000000000000000,""type"":8,""count"":1,""_6"":100000000000},{""_1"":1,""goal"":500000000000000000,""type"":2,""name"":""subtype"",""count"":50000,""_6"":1000000000000000}]},{""rewards"":[{""_1"":1,""goal"":250000000000000,""type"":8,""count"":1,""_6"":25000},{""_1"":1,""goal"":1000000000000000,""type"":2,""name"":""subtype"",""count"":5000,""_6"":1000000000}]}]}",CgpzcGFjZS1lZ2dzEAQaHwgBEQDA0NM1pVpDGAgpAAAAAAAA8D8xAAAA6HZIN0IaKAgBEQDITmdtwZtDGAIiB3N1YnR5cGUpAAAAAABq6EAxAAA0JvVrDEMgASgGMURvnfqWttdBOQAAAAAAdSJBShFMRUdBQ1k6IFNwYWNlRWdnc1JZU3BhY2VmbGlnaHQgaXMgYm9vbWluZyBkdWUgdG8gcmUtdXNhYmxlIHJvY2tldHMuIEhlbHAgZmlsbCB0aGUgZGVtYW5kIHdpdGggdGhpcyBjb250cmFjdC55AAAAAAAAXkCCAUsKHwgBEQDA0NM1pVpDGAgpAAAAAAAA8D8xAAAA6HZIN0IKKAgBEQDITmdtwZtDGAIiB3N1YnR5cGUpAAAAAABq6EAxAAA0JvVrDEOCAUsKHwgBEQAANCb1a+xCGAgpAAAAAAAA8D8xAAAAAABq2EAKKAgBEQAANCb1awxDGAIiB3N1YnR5cGUpAAAAAACIs0AxAAAAAGXNzUE=
